Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Variant Image,Variant Weight Unit,Cost per item,Status,QA probe (product.metafields.custom.qa_probe_no_def)
qa-probe-01-ok-control,QA probe ok-control,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-ok-control-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-02-dup-default-variant,QA probe dup-default-variant,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-dup-default-variant-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-02-dup-default-variant,,,,,,,,,,,,,QAP-dup-default-variant-2,,,,deny,manual,10.00,,,,,,,,,,,,,
qa-probe-03-dup-option-value,QA probe dup-option-value,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Size,M,,,,,QAP-dup-option-value-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-03-dup-option-value,,,,,,,,M,,,,,QAP-dup-option-value-2,,,,deny,manual,10.00,,,,,,,,,,,,,
qa-probe-04-blank-option-value,QA probe blank-option-value,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Size,S,,,,,QAP-blank-option-value-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-04-blank-option-value,,,,,,,,,,,,,QAP-blank-option-value-2,,,,deny,manual,10.00,,,,,,,,,,,,,
qa-probe-05-option-name-long,QA probe option-name-long,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,S,,,,,QAP-option-name-long-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-06-option-names-duplicate,QA probe option-names-duplicate,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Color,Red,Color,Blue,,,QAP-option-names-duplicate-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-07-option-name-title,QA probe option-name-title,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Title,Red,,,,,QAP-option-name-title-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-08-option-gap,QA probe option-gap,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Size,S,,,Color,Red,QAP-option-gap-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
